app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,opts,extensions,log
aes_gcm,hw_s1,rtlsim,2,4,16,128,64,8192,131072,543229,212186,-n128 -b64 -i1,AUTH AUTH_S2 SYM SYM_S2 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/E_4_1.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,64,8192,131072,580088,212170,-n128 -b64 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_1_64.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,64,8192,131072,543229,212186,-n128 -b64 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/sk_1_64.log
aes_gcm,hw_s1,simx,2,4,16,128,8,1024,16384,152144,31178,-n128 -b8 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_1_8.log
aes_gcm,hw_s1,simx,2,4,16,128,64,8192,131072,555063,212170,-n128 -b64 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_1_64.log
aes_gcm,hw_s1_ilv,rtlsim,1,4,4,64,4,256,4096,92987,34811,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1_ilv,rtlsim,1,4,4,64,4,256,4096,92987,34811,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s1_ilv,rtlsim,1,4,4,64,4,256,4096,92987,34811,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s1_ilv,rtlsim,1,4,4,64,4,256,4096,92987,34811,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s1_ilv,simx,2,4,16,128,8,1024,16384,173881,31450,-n128 -b8 -i4,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/gi_8.log
aes_gcm,hw_s1_ilv,simx,2,4,16,128,64,8192,131072,888841,214682,-n128 -b64 -i4,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/gi_64.log
