app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,core_instrs,opts,extensions,git,configs,log
chacha_poly,sg16,rtlsim,2,4,16,128,32,4096,262144,1483503,487904,243952:243952,-b32 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b32_i12_n128-20260831-184943.log
chacha_poly,sg16,rtlsim,2,4,16,128,64,8192,524288,1933612,688608,344304:344304,-b64 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b64_i12_n128-20260831-185023.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,2,256,4096,102775,11786,5893:5893,-b2 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b2_i1_n128-20260831-185115.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,4,512,8192,117520,18250,9125:9125,-b4 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b4_i1_n128-20260831-185119.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,8,1024,16384,149432,31178,15589:15589,-b8 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b8_i1_n128-20260831-185123.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,64,8192,131072,580088,212170,106085:106085,-b64 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b64_i1_n128-20260831-185128.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,128,16384,262144,1208496,419018,209509:209509,-b128 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b128_i1_n128-20260831-185148.log
aes_gcm,hw_s1,rtlsim,2,4,16,128,256,32768,524288,2486726,832714,416357:416357,-b256 -i1 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b256_i1_n128-20260831-185228.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,2,256,4096,62508,7362,3681:3681,-b2 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b2_i8_n128-20260831-185351.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,4,512,8192,65702,10242,5121:5121,-b4 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b4_i8_n128-20260831-185354.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,8,1024,16384,70762,16002,8001:8001,-b8 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b8_i8_n128-20260831-185356.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,64,8192,131072,177879,96642,48321:48321,-b64 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b64_i8_n128-20260831-185359.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,128,16384,262144,305567,188802,94401:94401,-b128 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b128_i8_n128-20260831-185405.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,256,32768,524288,560131,373122,186561:186561,-b256 -i8 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/aes_gcm-rtlsim-_b256_i8_n128-20260831-185416.log
